datetime,open,high,low,close,volume,Timestamp
2021-05-08,3480.98,3964.83,3451.74,3914.47,3128854.033,1620432000000
2021-05-09,3914.95,3985.55,3730.0,3928.01,3118238.261,1620518400000
2021-05-10,3927.83,4214.92,3658.0,3950.33,5052309.882,1620604800000
2021-05-11,3950.32,4183.52,3778.17,4175.91,3394479.287,1620691200000
2021-05-12,4175.85,4379.18,3723.43,3828.99,4928002.067,1620777600000
2021-05-13,3829.89,4036.45,3491.53,3719.45,5852199.813,1620864000000
2021-05-14,3719.44,4175.0,3692.99,4079.99,3063526.292,1620950400000
2021-05-15,4079.98,4137.21,3634.44,3648.98,3321250.207,1621036800000
2021-05-16,3649.01,3882.76,3348.0,3581.39,4223938.158,1621123200000
2021-05-17,3581.39,3587.0,3125.0,3283.58,5745286.6,1621209600000
2021-05-18,3283.23,3570.27,3240.06,3376.35,3842243.27,1621296000000
2021-05-19,3377.03,3446.24,1400.73,2442.98,10144417.228,1621382400000
2021-05-20,2444.02,2990.85,2150.0,2768.42,6097256.74,1621468800000
2021-05-21,2768.42,2940.0,2097.99,2431.01,6041584.187,1621555200000
2021-05-22,2431.24,2489.65,2151.63,2295.15,4564819.521,1621641600000
2021-05-23,2295.46,2383.41,1728.85,2096.63,7797669.636,1621728000000
2021-05-24,2096.62,2675.0,2079.0,2649.27,5714266.276,1621814400000
2021-05-25,2649.49,2750.0,2380.6,2706.83,5322472.943,1621900800000
2021-05-26,2706.82,2913.0,2642.87,2884.27,4052111.799,1621987200000
2021-05-27,2884.16,2893.03,2634.0,2742.77,3441489.934,1622073600000
2021-05-28,2742.77,2763.57,2324.48,2411.66,4733066.731,1622160000000
2021-05-29,2411.65,2577.04,2208.04,2277.99,4468023.064,1622246400000
2021-05-30,2277.99,2476.83,2179.13,2386.11,3642984.366,1622332800000
2021-05-31,2386.11,2721.51,2271.46,2706.33,4203920.413,1622419200000
2021-06-01,2706.46,2741.45,2523.82,2634.63,3779985.27,1622505600000
2021-06-02,2634.61,2804.04,2551.03,2707.22,3026897.821,1622592000000
2021-06-03,2707.03,2892.23,2662.0,2858.34,3561113.235,1622678400000
2021-06-04,2858.34,2861.53,2540.61,2689.21,4343826.882,1622764800000
2021-06-05,2689.41,2817.43,2550.77,2627.45,3876375.64,1622851200000
2021-06-06,2627.44,2744.0,2613.11,2711.4,2719341.885,1622937600000
2021-06-07,2711.3,2849.65,2569.3,2592.96,4175255.701,1623024000000
2021-06-08,2592.51,2621.27,2305.5,2506.19,6567894.086,1623110400000
2021-06-09,2506.13,2627.38,2404.01,2610.2,5127988.288,1623196800000
2021-06-10,2610.2,2624.79,2423.36,2471.11,3151629.315,1623283200000
2021-06-11,2471.05,2497.94,2320.0,2354.25,2932342.336,1623369600000
2021-06-12,2354.25,2452.79,2255.42,2370.59,3349184.786,1623456000000
2021-06-13,2370.61,2548.0,2307.41,2508.71,2999871.755,1623542400000
2021-06-14,2508.56,2608.53,2460.0,2579.82,2592645.352,1623628800000
2021-06-15,2579.8,2639.99,2506.81,2544.17,2609572.986,1623715200000
2021-06-16,2544.28,2557.54,2350.0,2366.84,2715755.789,1623801600000
2021-06-17,2366.84,2459.77,2304.15,2372.51,2805257.77,1623888000000
2021-06-18,2372.5,2376.94,2135.04,2231.68,3783368.698,1623974400000
2021-06-19,2231.68,2280.0,2160.0,2163.36,2905034.112,1624060800000
2021-06-20,2163.36,2277.0,2038.94,2242.7,4117443.373,1624147200000
2021-06-21,2242.7,2259.27,1864.36,1884.77,8408243.758,1624233600000
2021-06-22,1884.75,1997.8,1698.64,1878.46,7629543.365,1624320000000
2021-06-23,1878.46,2044.35,1820.3,1966.51,4071236.262,1624406400000
2021-06-24,1966.48,2036.0,1883.47,1989.5,3069218.028,1624492800000
2021-06-25,1989.5,2020.0,1790.0,1808.0,4807609.447,1624579200000
2021-06-26,1808.0,1852.95,1715.0,1828.88,4547442.9,1624665600000
2021-06-27,1828.86,1984.61,1805.0,1980.83,3643084.635,1624752000000
2021-06-28,1981.0,2146.91,1960.31,2083.56,5085737.209,1624838400000
2021-06-29,2083.55,2244.33,2073.0,2165.15,4249854.368,1624924800000
2021-06-30,2165.03,2290.0,2087.23,2275.0,4574440.196,1625011200000
2021-07-01,2274.99,2275.68,2066.0,2105.24,4469383.028,1625097600000
2021-07-02,2105.23,2160.0,2016.43,2152.64,3889555.868,1625184000000
2021-07-03,2152.64,2239.0,2112.03,2226.63,2965805.065,1625270400000
2021-07-04,2226.71,2390.0,2188.0,2321.95,3200803.958,1625356800000
